ID,Number_Of_Wins_This_Season,Number_Of_First_Round_Draft_Picks,Average_Player_Age,Number_Of_Injured_Players,Coach_Experience_Level,Won_Championship
515,15,3,26,8,2,B
1903,13,3,26,5,3,A
4352,15,2,27,6,2,A
7186,15,3,27,6,2,B
3332,13,2,27,5,2,B
7762,14,2,27,4,2,B
6652,13,2,27,4,2,B
6689,15,2,26,5,2,A
7974,14,2,26,6,2,A
698,13,2,26,5,2,B
1855,12,1,27,8,1,A
8975,13,2,27,7,2,A
6773,16,2,26,5,1,B
5585,16,2,28,6,2,B
3417,13,2,27,6,2,B
9990,12,3,26,7,3,B
5882,14,2,26,6,1,A
7187,14,2,27,6,2,B
9218,12,1,27,6,2,A
8433,13,2,27,3,2,B
9841,14,2,26,5,2,B
7588,14,2,27,5,2,B
9967,15,3,26,5,2,B
9318,14,2,26,7,2,A
7853,12,2,27,8,2,A
5773,15,2,26,4,2,A
9072,14,2,26,6,1,A
2837,14,1,27,4,2,A
671,14,1,26,4,2,A
6766,15,1,26,4,1,A
8366,13,1,27,3,2,A
6876,13,2,27,6,2,A
3804,13,3,26,6,3,B
5233,15,3,27,6,2,B
8304,13,2,26,5,2,B
576,14,2,27,4,2,A
3544,14,2,27,6,2,A
6339,14,3,26,6,2,B
7540,14,3,25,6,2,B
1210,14,3,27,5,3,B
7030,16,2,26,3,2,A
3842,14,2,27,4,2,A
9472,14,2,26,6,2,A
701,15,2,26,4,2,B
9120,13,2,25,6,2,B
202,14,1,28,3,1,B
1230,16,3,26,6,2,B
5571,12,1,27,6,1,A
8203,14,1,27,4,1,A
5630,14,1,27,4,1,A
1746,14,2,26,5,2,A
7200,14,2,26,6,2,B
4514,14,3,26,5,2,B
1153,16,2,25,3,2,A
5171,12,2,25,5,3,B
403,15,3,26,7,2,B
2694,14,3,26,6,2,A
7705,14,2,26,7,2,A
6463,14,3,26,8,2,B
7745,13,2,26,7,1,A
9390,15,2,26,5,2,A
6806,13,2,27,7,2,A
625,14,2,26,5,2,B
5487,15,2,26,5,2,A
2307,14,2,27,6,2,B
5949,14,4,26,8,3,B
1934,13,1,27,4,2,A
2257,15,2,26,6,2,A
6783,14,2,26,4,2,B
427,15,3,27,6,2,B
3239,13,3,27,5,3,B
5372,15,2,27,5,2,B
3965,14,1,27,3,1,A
6030,14,2,26,6,2,A
5812,13,2,27,6,2,A
1857,15,2,26,6,2,B
8814,12,1,27,3,2,B
1637,14,3,26,6,2,B
4852,14,2,26,6,2,A
1172,13,2,27,7,2,A
2163,16,2,26,4,2,A
7618,14,3,26,7,2,B
8048,13,1,26,7,1,A
8614,14,2,26,6,2,A
4975,14,2,27,5,2,A
533,16,3,26,6,2,B
7471,14,1,27,4,2,A
9381,13,1,27,4,1,A
1762,12,1,27,7,2,A
4993,13,1,26,6,1,A
5362,14,2,26,5,2,A
100,14,2,27,3,2,B
214,13,3,27,6,3,B
1385,15,2,27,5,2,B
661,14,2,27,5,2,B
1366,13,2,27,5,2,B
7422,13,2,27,6,2,B
6115,13,2,26,5,2,B
2945,15,2,25,6,1,A
9199,12,1,28,5,2,A
3987,13,2,27,5,2,A
9530,14,3,26,5,3,B
4004,16,3,26,6,2,B
8478,17,2,25,3,2,A
9779,14,2,28,6,2,B
292,16,3,26,4,2,A
8981,14,2,26,6,2,B
1137,15,2,26,6,2,A
413,15,3,26,6,2,B
5934,14,2,26,6,2,A
8677,13,2,26,7,2,A
9366,14,3,26,6,2,B
29,15,2,26,5,2,A
238,13,1,27,6,1,A
8252,15,2,26,5,2,A
3781,13,3,26,5,3,B
2029,15,3,26,7,2,B
4697,14,2,26,6,2,A
8566,14,3,26,7,2,A
4083,13,2,26,5,2,A
7209,13,2,26,8,2,A
3470,12,2,26,7,2,A
3776,13,2,27,6,2,A
9808,16,3,26,6,2,B
4907,13,3,26,7,3,B
5680,14,1,26,4,2,A
2190,15,3,26,6,2,A
5192,13,1,26,6,1,A
9865,13,2,27,5,2,A
2290,13,2,26,6,2,A
9835,14,1,26,5,1,A
6032,14,1,27,5,2,A
3212,12,2,27,7,2,A
1692,13,2,27,6,2,A
2981,15,3,26,6,2,B
4520,12,2,27,4,2,B
9198,15,3,26,5,2,B
9213,12,3,26,6,3,B
457,15,3,26,6,2,B
6021,15,2,26,3,2,B
7564,15,2,26,5,2,A
1944,14,2,26,5,2,B
4082,13,2,27,7,2,A
3176,13,2,27,4,2,A
6073,15,3,26,7,2,B
4384,15,2,26,4,2,A
62,14,2,27,5,2,B
5434,16,2,26,4,2,A
7001,13,3,26,5,3,B
4633,13,2,27,6,2,B
8333,15,2,27,2,2,A
2527,14,2,27,5,2,A
9748,15,3,27,4,3,A
2687,14,3,26,7,2,A
7778,14,2,26,7,2,A
7584,12,1,27,6,1,A
3310,14,3,26,7,2,B
5399,15,2,26,5,2,B
4029,15,3,26,8,2,A
2256,15,2,26,5,1,B
3421,15,2,26,6,2,B
9090,14,2,26,4,2,A
1403,14,2,26,6,2,A
3910,13,3,26,7,2,B
5109,14,3,25,7,2,B
3631,13,2,26,3,3,B
1174,14,2,26,5,2,A
6574,14,3,26,6,3,B
6792,13,2,26,7,2,A
2318,13,2,26,6,2,A
763,15,2,26,5,2,A
6455,14,3,26,8,2,B
6107,12,2,27,7,2,A
2674,14,3,27,5,2,B
4143,14,3,26,6,2,B
8686,14,2,26,6,1,A
8501,13,3,27,6,2,B
5515,12,1,27,6,2,A
1887,13,2,27,7,2,A
2985,13,2,27,6,2,A
8798,14,2,27,5,2,A
6736,14,2,27,5,2,B
8047,13,2,27,6,2,A
1764,13,2,27,7,2,B
5411,12,2,26,5,2,B
4371,16,3,25,4,2,A
125,13,2,27,4,2,B
2948,16,3,26,4,2,A
577,13,2,27,5,2,B
5940,12,1,28,5,2,A
2720,14,2,26,5,2,B
7863,13,1,27,4,2,B
268,12,2,27,7,2,B
1902,14,2,27,6,2,A
543,14,2,27,5,2,A
8113,14,3,26,6,2,A
2705,14,2,27,4,2,B
4476,14,2,26,5,1,B
7505,14,1,27,4,2,A
1237,15,2,26,5,2,A
5865,12,1,27,7,2,A
3949,13,2,27,6,2,A
2714,15,3,26,7,2,B
3136,13,3,26,7,2,B
715,12,2,27,7,2,A
1233,15,3,26,5,2,B
9730,14,3,26,7,2,B
1917,16,3,26,5,2,B
654,12,3,26,6,3,B
8966,14,3,26,4,3,B
4724,14,2,28,4,2,A
3345,15,3,25,7,2,A
5332,15,3,26,7,2,B
9900,14,2,27,6,2,B
4225,13,1,26,5,1,B
5000,15,3,26,7,2,B
5620,14,2,27,6,2,B
7833,13,2,26,6,2,B
8306,15,2,25,5,2,A
3614,14,2,27,5,2,A
3087,14,3,26,6,2,A
6111,15,2,26,4,1,A
4588,14,2,26,7,2,A
8340,15,2,26,3,2,A
8215,14,2,26,5,2,A
1807,12,1,27,7,1,A
1580,13,1,27,5,2,A
1296,16,3,26,6,2,B
5722,13,2,27,4,2,B
7857,14,2,27,3,2,B
1069,14,3,27,6,2,B
8765,14,2,26,7,2,A
9535,13,2,27,4,2,B
8859,13,3,26,5,2,B
325,14,3,26,5,3,B
8947,16,2,26,4,2,A
9023,14,1,27,4,1,A
1427,13,2,26,5,3,B
3901,15,2,26,5,2,B
5376,14,2,27,5,2,B
7621,14,2,26,6,2,B
5634,11,1,27,9,2,A
4553,14,2,26,5,2,A
990,15,3,26,6,2,A
9971,14,2,26,6,2,A
337,12,2,26,3,3,B
9970,13,2,27,6,2,A
8419,13,2,27,6,2,A
6596,16,2,26,5,2,B
380,11,2,27,9,2,A
6386,15,2,27,5,1,B
9118,14,2,26,4,2,B
9758,15,3,26,6,3,B
6886,15,3,26,7,3,B
8945,14,2,26,6,2,B
7099,15,2,27,4,2,A
7158,15,3,26,6,2,A
4202,14,2,27,6,2,B
9338,14,2,27,6,2,B
111,14,2,27,6,2,B
9170,14,2,26,6,2,B
4996,14,2,26,6,2,A
2942,15,3,26,8,2,B
6383,14,2,26,5,2,B
3846,12,2,26,5,2,B
4571,15,2,27,7,2,B
6588,13,2,26,6,2,A
7309,13,2,27,5,2,A
9545,15,3,26,7,2,A
79,14,2,27,5,2,B
9637,13,2,27,6,2,A
3508,13,2,27,7,2,A
6051,14,2,26,6,2,A
664,15,3,26,6,2,B
2457,14,1,27,3,2,A
3026,11,2,26,6,3,B
5267,13,2,26,7,1,A
7658,14,2,27,5,2,A
6470,14,2,27,5,2,A
6411,13,3,26,5,3,B
512,14,2,26,6,2,A
7624,16,3,26,3,2,A
3540,14,2,26,6,2,B
787,13,1,27,6,2,A
6066,13,3,26,7,2,B
1040,14,2,26,5,2,A
9027,15,3,27,7,2,B
9828,14,2,27,5,2,B
8918,13,2,27,6,2,A
9886,14,2,26,5,2,A
235,14,3,27,6,2,A
1406,16,2,26,3,1,A
4305,17,2,27,5,2,A
8831,14,2,26,6,2,A
7340,15,3,26,7,2,B
5170,14,3,27,6,2,B
3733,14,3,26,6,2,B
8681,14,3,26,6,2,B
2967,14,2,27,4,2,A
6842,12,2,27,6,2,A
7832,14,3,27,6,2,B
578,14,3,26,5,2,B
1457,14,2,26,7,2,A
8488,13,2,26,7,2,A
5309,14,3,27,7,2,A
5738,14,3,26,6,2,B
9469,14,2,26,6,2,A
1626,14,2,26,6,1,A
2281,15,2,26,5,2,A
5917,14,2,27,5,2,B
1010,15,2,27,6,2,B
5835,13,2,26,3,3,B
4832,14,2,27,5,2,A
3818,13,2,27,4,2,B
4937,13,2,27,6,2,B
9033,14,2,27,6,2,B
1314,13,1,27,5,2,A
1335,14,2,26,5,2,B
2732,14,2,27,5,2,A
7042,12,1,27,6,2,A
1416,14,3,26,7,3,B
539,13,2,27,6,2,A
4802,13,2,26,6,2,B
4578,15,3,26,6,2,B
5687,14,1,26,5,1,A
3664,15,3,27,6,2,B
9332,13,1,26,6,1,A
3486,12,2,27,7,2,A
9593,13,1,27,5,1,A
6982,14,2,27,5,2,A
8015,14,2,27,4,2,B
3795,15,2,26,5,2,A
2271,12,2,27,7,2,A
7043,12,2,27,8,2,A
3715,15,2,26,5,2,A
1025,13,2,27,7,2,A
2208,13,2,27,6,2,A
9843,14,3,26,5,3,B
8489,13,2,26,4,2,B
8762,14,2,27,4,2,B
8037,14,2,26,5,2,B
2561,13,2,27,5,2,B
8236,15,3,26,7,2,B
6135,14,2,27,5,2,A
6522,13,2,26,8,2,A
2813,14,3,26,7,2,B
3359,15,2,26,6,2,B
2214,12,2,26,5,2,B
115,15,2,26,4,2,A
2817,14,2,27,5,2,A
6468,16,2,25,2,2,A
9230,14,2,26,7,2,A
3288,14,3,27,6,2,B
7896,16,3,26,5,2,B
4164,16,2,26,3,2,A
643,15,2,26,5,2,B
7021,16,2,26,3,2,A
7952,13,2,26,7,1,A
7439,14,2,26,6,2,A
5265,13,3,26,5,3,B
8684,13,2,26,5,2,B
1574,15,2,27,3,2,B
7821,15,2,27,5,2,A
7609,15,2,25,5,2,A
8096,15,3,27,6,2,B
3824,13,2,27,4,2,B
2938,13,2,27,7,2,A
7313,12,2,26,6,3,B
1492,15,2,27,3,2,B
2538,14,2,26,7,2,A
3243,15,2,26,5,1,A
7433,14,3,26,7,2,B
7940,13,2,26,5,2,B
4175,14,2,27,5,2,B
5505,13,2,27,6,2,A
4877,15,3,27,6,3,B
8730,15,3,26,7,2,B
7882,16,3,27,6,2,B
2868,12,2,26,5,2,B
1297,14,2,27,5,2,B
9354,13,2,27,7,2,A
1968,16,3,26,4,2,A
9500,14,2,27,6,2,B
7739,15,2,27,4,2,A
5731,13,1,27,5,2,A
3256,14,2,28,4,2,B
5858,12,2,26,6,2,A
5638,12,2,26,3,3,B
9595,13,2,27,7,2,A
6185,14,2,26,4,2,A
7790,15,2,27,6,2,B
1307,14,2,26,5,2,A
1773,13,2,27,5,3,B
5112,13,2,26,7,2,A
9006,14,2,27,6,2,B
4944,15,2,26,6,2,B
1514,15,3,26,5,2,A
9003,15,3,26,5,2,B
4620,13,2,26,6,2,B
7479,13,2,26,7,2,A
2639,15,2,27,5,2,B
7652,14,3,26,7,2,A
3159,14,1,27,3,2,B
470,13,2,26,6,2,A
7961,13,1,27,6,1,A
7686,14,2,26,5,2,A
5343,12,2,26,4,3,B
6915,14,1,27,2,2,B
6675,13,2,26,6,2,B
7859,14,2,27,5,2,B
3558,13,2,27,5,2,B
6829,11,3,26,6,3,B
5695,13,2,27,5,2,A
6945,13,3,26,6,2,B
5213,15,2,26,3,2,B
1844,14,3,26,7,2,A
1645,17,2,26,2,2,A
538,13,2,27,6,2,A
3859,15,2,26,6,2,A
3980,11,1,28,6,1,A
623,13,2,27,6,2,A
384,15,3,26,6,2,B
2499,14,2,27,6,2,A
5042,15,3,26,7,2,B
3369,14,2,26,5,2,B
5313,15,1,27,4,1,B
7728,12,2,27,7,2,A
412,13,2,26,6,2,A
5820,14,3,27,7,2,B
4796,13,1,26,7,1,A
2122,15,2,26,3,2,A
2573,13,1,27,4,2,A
2451,15,2,27,4,2,A
6504,14,2,27,5,2,B
8783,13,3,26,6,3,B
8954,14,2,26,5,2,B
9149,14,2,26,7,2,A
1077,14,2,27,5,2,A
7431,16,3,26,7,2,B
3468,16,3,26,6,2,B
6437,14,2,26,7,2,A
9952,14,2,27,5,2,B
1301,14,2,26,4,2,B
6202,13,2,27,7,2,B
5155,13,2,27,5,2,B
4171,15,2,27,5,2,B
1346,12,1,27,6,1,A
6018,13,2,27,6,2,A
1367,13,2,27,7,2,A
3038,15,2,26,5,2,A
5512,15,3,26,8,2,B
8137,14,2,26,5,2,B
8355,13,2,26,5,2,B
8017,14,2,27,4,2,B
2370,13,2,26,5,2,B
781,14,2,27,5,2,B
2712,12,2,27,5,2,B
5663,14,2,27,5,2,B
9245,13,1,27,5,2,A
6872,14,2,26,5,2,A
2360,12,1,28,4,2,A
974,14,2,27,5,2,B
8869,14,2,26,7,1,B
5830,14,2,26,7,1,A
9657,14,2,26,4,2,B
6047,15,2,26,4,2,A
783,14,2,26,7,2,A
1808,15,2,26,5,2,B
7319,13,2,27,8,2,A
4450,14,2,27,6,2,B
7176,16,3,26,4,2,A
3373,15,3,26,5,2,B
3039,15,2,26,5,2,A
5419,14,3,27,7,2,B
4231,14,2,26,5,2,A
6351,15,3,26,6,2,B
5005,15,3,26,5,2,A
3765,13,1,27,6,2,A
7994,17,3,26,1,2,A
2830,15,2,26,3,2,A
1126,14,2,26,4,2,B
3593,13,3,26,5,3,B
6211,15,3,25,6,2,B
9147,14,2,26,5,2,A
3036,13,2,27,4,2,B
3029,15,3,26,4,2,A
233,12,2,26,3,3,B
8661,13,2,27,6,2,A
942,14,3,27,7,2,B
1039,15,3,26,4,3,A
4369,13,1,28,3,2,A
9141,14,2,26,4,2,A
206,13,2,26,7,1,A
3993,13,1,27,5,2,A
5524,14,2,26,6,2,A
1652,14,2,27,6,2,B
6838,14,2,26,6,2,A
7990,14,1,27,3,2,B
3362,14,2,26,5,2,A
7499,14,2,26,5,2,B
4462,12,2,26,5,3,B
5554,15,2,26,6,2,B
820,15,3,26,6,2,B
7802,14,3,26,6,2,B
8426,13,1,27,5,1,A
6756,14,2,26,4,3,B
5696,13,2,26,4,2,B
7152,13,2,27,6,2,A
3832,16,3,26,5,3,A
7490,13,3,26,7,3,B
3939,13,2,26,6,1,A
5715,15,2,27,5,2,B
76,14,1,27,3,2,B
4312,15,2,27,5,2,B
3854,13,3,26,7,3,B
4220,16,3,27,6,2,B
8562,15,3,27,6,2,B
7122,14,2,27,6,2,B
8688,14,2,26,5,2,A
4344,13,2,27,4,2,B
1481,13,1,27,5,2,A
4893,13,2,26,7,2,A
6549,14,1,27,4,2,A
2248,14,2,26,7,1,B
5230,12,2,27,7,2,A
3123,17,2,26,2,2,A
5496,14,2,26,6,2,A
9357,13,2,27,7,2,A
2396,13,2,26,7,2,B
9909,13,2,26,6,2,B
6130,13,2,26,6,1,A
1791,15,2,26,4,2,A
6627,15,2,26,6,2,B
7452,14,2,26,5,2,B
5769,15,3,27,6,3,B
560,14,2,26,6,2,A
4399,13,2,27,5,3,B
4595,15,3,26,7,2,B
8158,15,3,27,7,2,B
8510,12,2,27,5,2,B
1066,15,3,27,4,3,A
8494,12,2,27,8,2,A
141,13,3,26,7,2,B
7154,15,2,27,5,1,B
3056,13,2,27,6,2,A
9330,14,2,27,5,2,A
5054,16,2,27,4,2,B
5210,15,3,26,5,2,B
6022,13,3,26,4,3,B
3957,14,2,26,4,2,B
2841,12,1,26,8,1,A
4460,13,2,27,6,2,B
2188,14,2,26,7,2,A
2418,14,3,26,7,3,B
8907,14,3,27,6,3,B
3062,13,2,26,6,2,B
6599,14,2,26,6,2,A
4826,12,2,27,7,2,A
4080,14,2,26,5,2,A
4093,12,2,26,5,3,B
7860,13,2,27,3,3,B
8123,15,2,26,5,2,A
27,12,2,27,9,1,A
1397,15,2,26,4,2,A
9992,13,2,26,4,2,A
8370,14,1,26,5,2,A
4234,15,3,25,8,2,B
5019,14,3,26,6,2,A
7113,12,2,26,7,2,A
4488,14,2,26,5,2,B
3798,14,2,26,6,1,A
8847,15,2,26,4,2,B
1277,15,2,27,6,2,B
8815,16,3,25,4,2,A
2925,13,2,27,3,2,B
1274,14,2,26,6,2,A
252,14,2,26,5,1,B
1440,16,2,27,5,1,B
483,15,2,26,4,1,A
177,12,2,27,5,3,B
6660,13,2,25,4,2,B
2959,13,2,27,4,2,B
7075,14,3,27,4,3,B
8991,15,3,26,5,2,B
2484,16,3,26,7,2,B
4905,13,2,27,6,2,A
6074,11,1,27,9,1,A
4298,13,2,27,7,2,A
417,13,2,27,7,2,B
8713,13,2,28,4,2,A
2894,16,2,27,4,2,B
7469,13,2,27,6,2,A
1162,14,2,26,3,2,A
9145,12,2,27,8,2,A
1817,14,2,26,6,1,A
7496,15,2,26,4,2,B
9070,14,2,26,5,2,A
6449,15,2,27,4,2,B
7438,15,2,26,4,2,A
2288,13,2,26,5,2,B
54,15,3,26,6,2,B
5904,15,4,26,8,3,B
5927,13,3,26,6,3,B
5271,16,2,26,3,2,A
6822,13,3,27,6,3,B
3555,15,2,26,5,2,A
8535,14,2,27,6,2,B
6551,14,2,26,4,2,A
6149,13,2,27,7,2,A
3067,15,2,26,5,2,A
5110,13,2,27,6,2,A
8664,13,2,27,8,2,A
2662,14,3,26,8,2,B
7138,13,2,26,6,2,B
1598,14,3,26,6,3,B
3867,13,1,27,4,2,B
4538,13,1,26,7,1,A
7504,14,2,27,6,2,A
6208,15,2,25,5,2,A
9375,14,2,26,5,1,A
1685,13,2,27,6,2,A
9211,12,2,27,7,2,A
3213,16,3,26,5,2,A
9207,12,2,26,8,2,A
8969,15,1,26,4,1,B
7724,13,2,27,7,2,A
5660,14,3,27,7,2,B
2836,13,3,26,6,3,B
2169,14,2,26,5,2,A
2975,14,2,26,4,2,B
9809,14,3,26,6,2,B
3075,13,1,28,6,2,A
3128,13,3,26,6,2,B
3844,14,3,26,6,3,B
3591,14,2,27,5,2,A
8337,15,2,26,4,2,A
9284,15,2,26,5,2,A
7052,14,2,26,5,2,A
8823,14,2,26,6,2,A
6095,13,3,27,6,3,B
9853,15,3,25,6,2,A
2171,14,3,26,5,2,B
1283,14,3,27,6,2,B
8051,17,2,25,2,2,A
6439,14,2,27,7,2,B
5280,14,3,26,5,3,B
6126,14,2,26,5,2,B
433,15,3,26,5,3,A
5272,15,3,26,7,2,B
2105,15,2,26,4,2,A
1326,15,2,26,6,2,B
8479,15,3,26,5,2,A
4197,15,2,26,6,2,B
2915,14,2,26,6,2,A
3994,14,3,26,5,2,B
8152,14,2,27,5,2,A
6424,13,2,26,6,2,B
8616,13,2,26,7,2,B
155,15,2,26,4,2,B
8111,12,2,26,6,2,B
1341,15,3,26,5,2,A
8020,14,2,26,5,2,B
1532,14,3,27,6,2,B
8368,13,2,26,6,1,A
7871,15,2,26,4,2,A
587,15,3,26,8,2,B
6776,15,2,26,5,2,A
1851,15,2,26,4,2,A
6381,16,2,26,3,2,A
6952,14,3,26,7,2,B
3326,14,3,26,7,3,B
7275,14,2,26,6,2,A
696,13,2,25,9,1,A
9918,13,2,26,5,2,B
6520,15,2,27,5,2,B
8516,15,2,26,4,2,A
5336,14,3,26,6,2,A
9232,14,2,27,5,2,B
2664,14,3,26,6,3,B
460,12,1,27,4,2,B
6844,13,3,26,5,3,B
9001,14,2,26,5,2,B
2465,14,2,26,3,2,A
6362,15,2,26,4,2,B
2037,14,2,26,7,2,A
7582,14,2,26,4,2,B
1933,12,1,27,7,1,A
2324,13,2,26,5,2,A
5065,13,3,26,5,3,B
243,13,2,27,6,2,A
6461,12,0,27,5,1,A
4356,15,2,26,5,2,A
819,13,2,26,6,2,B
6481,16,3,26,6,2,B
4391,14,2,25,6,1,A
3313,14,2,26,6,2,A
5697,14,2,27,5,2,B
6614,13,2,26,7,2,A
7766,14,2,27,6,2,B
4936,13,3,26,6,3,B
9288,14,3,26,6,2,A
5059,16,2,26,4,2,A
9368,15,3,26,7,2,B
8299,14,2,26,5,2,B
1834,16,3,25,5,2,A
4250,15,3,27,6,2,A
6816,14,3,26,6,3,A
5606,16,2,26,4,2,A
3877,13,2,26,5,3,B
6308,14,2,27,5,2,A
8006,15,2,26,5,2,A
757,15,3,26,8,2,B
9263,13,2,27,6,2,B
5605,13,2,26,6,2,B
1754,14,3,25,6,2,A
6992,14,2,27,5,2,B
7522,15,2,26,5,2,B
5114,14,2,27,6,2,B
5286,15,1,27,4,1,B
5199,13,3,26,7,2,B
6667,14,2,26,5,2,B
4043,14,2,26,4,2,B
2226,12,2,26,5,2,B
7459,14,2,27,5,2,B
2924,15,2,26,4,2,A
9578,13,2,27,6,2,A
1657,13,1,28,5,2,A
3025,11,1,27,8,2,A
2145,14,2,26,5,2,B
6765,15,3,26,5,2,B
2485,15,3,26,7,2,B
5310,11,1,27,8,1,A
4759,14,3,27,5,2,A
8389,14,3,26,5,3,B
7219,15,2,26,5,2,B
5699,14,1,27,4,1,A
2511,15,2,26,4,2,A
5226,15,2,26,3,2,A
1152,14,2,27,4,2,B
7587,15,2,26,4,2,A
9603,14,2,26,6,1,A
6389,13,1,27,4,2,A
4823,13,2,27,5,2,A
5712,13,1,26,5,2,B
8996,15,2,27,4,2,B
1981,12,2,26,3,3,B
7164,12,1,27,6,1,A
4767,13,2,27,6,2,B
8032,15,2,26,4,2,B
9428,15,3,26,5,2,B
562,12,2,27,3,3,B
191,15,2,26,4,2,A
5714,11,1,28,7,2,A
7685,15,2,27,4,2,B
4137,15,1,26,4,1,B
1875,15,2,26,5,2,B
3956,15,3,26,7,2,B
8345,14,2,26,4,2,B
4125,13,2,27,5,2,A
2796,15,3,26,7,2,B
3379,13,2,27,5,2,B
8822,15,3,26,5,2,B
5574,14,2,27,5,2,B
3427,13,3,26,5,3,B
1291,15,2,27,7,1,B
1693,13,2,26,4,2,B
5810,14,2,27,5,2,B
5197,15,2,27,6,2,B
5760,14,2,26,5,2,B
2804,13,3,26,7,2,A
8577,14,2,27,5,2,A
9693,14,3,26,7,3,B
6910,14,2,26,5,2,B
6296,16,2,26,3,2,A
2427,16,2,27,6,2,B
5611,14,1,27,5,1,A
4542,15,2,26,4,2,B
6199,13,2,26,7,2,A
7550,13,2,26,5,2,B
4616,14,2,26,8,1,A
5610,15,2,26,4,2,B
4385,12,1,27,6,1,A
4064,11,1,28,7,2,A
9709,14,2,26,5,2,A
443,14,3,26,7,2,B
6579,15,2,27,5,2,B
4168,14,2,26,5,2,A
8401,12,2,27,8,2,A
5429,14,2,26,6,2,B
1156,13,2,27,4,2,A
2117,15,2,26,5,2,A
1956,13,2,26,4,3,B
7248,15,2,27,5,2,B
9726,14,2,27,6,2,A
9510,13,2,27,6,1,A
8682,14,2,26,7,2,B
9113,15,2,27,5,2,B
1716,14,2,27,5,2,B
5941,15,2,26,6,2,B
5549,13,3,27,4,3,B
25,12,1,27,7,1,A
3845,13,2,27,5,2,B
4503,14,2,26,5,2,A
4484,14,2,27,4,2,B
2323,15,2,27,4,2,B
9838,14,2,27,5,2,A
3728,13,2,27,5,2,B
9968,12,2,26,5,3,B
6850,13,3,25,7,2,B
5737,13,2,26,6,2,A
8928,15,2,27,6,2,B
